0	16	17	51	30	0	6	3	0	35	28	14	16	4	5	4	6	1	3	1	0	2	0	1	3	1	0	0	3	2	1	0	1	2	0	0	0	2	1	0	1	1	0	0	1	2	1	0	1	2	1	1	2	3	3	14	19	2	5	0	1	25	24	8	8
10	15	17	51	34	4	1	1	0	37	31	28	9	7	4	5	2	2	2	1	1	1	1	1	0	1	0	0	1	0	1	0	1	2	0	0	0	3	3	1	2	1	0	0	1	0	0	0	3	1	3	0	0	4	13	18	21	2	2	0	1	19	16	7	7
20	9	19	44	32	3	4	3	0	25	47	10	8	3	3	6	5	0	0	0	0	2	1	0	0	1	0	0	4	0	0	0	1	1	2	0	0	4	0	0	1	2	0	1	0	0	0	0	1	2	2	2	1	7	13	25	31	2	1	0	0	30	16	10	6
30	16	30	42	47	1	6	7	0	46	23	23	20	3	2	6	7	1	1	3	3	2	0	0	3	0	1	0	3	0	0	2	2	2	1	0	1	1	0	1	2	1	0	1	1	0	2	0	5	1	3	5	3	1	17	22	20	2	2	0	3	30	15	12	10
40	8	24	45	45	2	4	3	0	30	41	20	17	6	4	2	6	5	1	2	0	2	1	3	1	0	1	1	2	0	2	1	4	1	1	1	0	4	0	0	0	1	0	1	1	1	1	0	3	5	1	0	1	5	16	28	24	3	2	1	4	25	30	16	11
50	10	24	44	30	2	6	5	0	36	37	20	20	1	3	3	3	8	1	1	0	4	1	2	4	0	3	0	3	5	1	0	2	1	0	2	0	1	0	0	4	3	0	0	4	1	0	0	3	0	1	3	1	8	7	15	35	5	5	4	2	32	24	18	12
60	8	29	38	45	6	7	8	0	33	34	18	22	4	5	5	8	1	0	2	0	3	3	4	7	1	0	0	4	0	1	5	0	2	0	0	2	3	1	1	2	4	0	0	3	2	1	1	3	4	1	3	3	4	13	24	40	0	3	2	5	31	19	11	8
70	18	24	38	42	6	8	5	0	55	55	19	19	5	6	4	9	1	2	2	1	7	6	2	1	1	0	0	5	1	1	6	5	2	0	0	1	2	1	0	2	4	1	5	4	3	0	0	3	0	2	4	1	8	20	24	34	3	3	2	5	30	35	18	12
80	14	25	45	51	4	6	7	0	34	53	21	28	3	7	5	18	6	2	3	2	1	1	3	2	3	1	1	5	3	3	1	2	2	2	2	0	3	3	0	0	3	0	1	1	0	2	1	2	1	1	1	1	6	18	32	29	7	7	1	1	26	26	19	14
90	21	37	54	44	9	8	7	0	37	46	29	24	8	9	6	19	2	0	3	1	3	2	7	3	1	2	1	12	4	5	6	7	2	2	2	3	5	2	0	5	2	1	4	1	0	2	1	5	2	4	0	5	1	20	37	38	2	1	2	6	26	30	18	8
100	21	35	60	49	8	4	3	0	45	54	22	22	9	6	7	14	2	3	4	6	4	4	3	9	4	3	2	7	4	1	5	5	4	0	3	2	4	1	0	4	6	0	7	1	2	2	2	5	2	3	1	4	14	23	25	31	4	2	4	2	37	31	13	14
