0	11	5	5	4	1	6	4	13	31	4	2	1	4	3	3	26	37	5	2	3	6	2	1	50	36	5	3	1	3	3	3	26	41	5	4	3	4	5	6	31	27	3	2	3	1	3	7	34	26	6	1	4	5	2	3	34	2	6	9	4	14	8	12	13
10	11	1	4	1	4	7	7	11	25	6	4	2	4	7	4	23	39	2	3	2	6	4	4	42	45	4	1	3	6	1	6	25	23	6	4	7	6	4	5	26	34	4	3	4	5	4	5	32	27	1	2	3	6	4	6	28	11	10	10	9	8	11	9	16
20	9	3	3	1	6	3	8	12	36	10	1	6	4	4	7	32	48	3	4	3	1	2	6	30	41	1	1	10	7	5	7	38	37	3	7	11	6	7	6	34	55	6	0	6	6	6	9	36	20	4	3	1	6	1	6	29	15	10	9	6	5	12	4	21
30	6	6	2	1	6	15	8	5	43	4	4	2	2	6	9	38	51	4	4	2	2	4	6	41	34	7	2	6	2	4	4	37	30	6	7	3	6	12	10	43	43	4	5	8	7	5	11	48	25	9	4	4	5	5	6	37	10	3	3	5	10	10	10	18
40	5	4	8	6	8	6	6	16	29	6	3	6	5	6	10	34	54	6	1	1	2	5	5	40	55	7	2	3	7	7	6	30	44	6	3	10	3	3	2	43	55	3	3	1	9	10	5	49	29	4	4	0	8	8	3	33	13	4	5	4	11	10	11	21
50	4	10	2	5	4	9	3	16	23	6	8	3	7	3	3	44	59	10	3	4	9	4	2	46	34	6	4	4	7	7	6	46	46	6	4	6	3	5	8	44	48	3	5	8	6	7	9	62	21	7	4	8	11	9	11	38	12	16	7	8	10	8	12	15
60	9	11	9	6	13	9	6	13	37	12	6	5	6	5	9	34	60	14	7	2	3	5	10	55	45	7	6	4	1	3	7	50	55	12	3	6	8	6	10	51	48	7	6	5	10	3	9	49	33	9	4	11	6	9	8	41	17	10	14	8	7	11	13	28
70	19	9	12	8	11	7	10	22	57	8	5	4	6	8	11	41	73	13	3	3	5	3	9	54	52	9	3	3	11	7	9	52	43	16	6	9	8	9	14	55	33	9	12	7	7	4	11	53	32	10	5	3	8	8	2	40	15	17	18	11	9	10	19	28
80	16	15	11	6	8	15	14	12	47	4	13	8	6	9	13	45	73	10	9	6	4	11	16	65	62	10	6	4	6	9	10	47	55	13	5	10	11	4	14	68	70	8	6	14	14	9	9	60	31	8	9	6	13	13	8	48	13	11	16	16	18	19	11	25
90	22	9	20	8	9	16	11	22	48	12	10	4	6	17	6	35	63	15	5	5	4	4	9	61	66	0	3	5	10	9	16	49	56	11	0	16	13	6	12	62	72	13	13	6	7	7	14	66	39	8	5	10	9	5	7	49	27	14	14	18	12	18	21	30
100	17	5	5	9	10	12	17	30	50	20	8	6	12	13	10	62	73	22	7	4	6	5	17	53	58	11	7	8	21	16	7	63	71	13	7	13	8	11	17	52	61	11	12	8	8	9	16	59	49	10	8	13	22	14	11	41	27	9	12	17	14	16	26	35
110	21	7	8	13	7	14	24	41	62	16	7	9	11	2	13	63	73	15	8	7	3	13	16	88	69	9	5	7	15	15	18	60	71	22	12	13	12	14	12	69	73	11	14	11	9	17	26	85	45	21	9	10	20	13	12	56	27	16	34	19	11	25	26	42
120	13	11	19	6	16	29	15	28	63	20	5	11	11	12	13	66	89	11	7	6	11	13	23	81	80	16	9	10	14	14	18	60	82	22	14	34	18	19	21	72	79	14	10	18	16	20	12	82	46	6	14	10	25	13	10	61	16	15	22	24	17	29	27	39
130	32	10	17	9	13	34	23	23	74	25	7	8	16	18	12	71	113	16	11	4	10	10	28	95	90	9	8	15	14	16	18	51	112	29	15	30	17	19	12	84	116	14	14	12	18	12	23	92	71	15	13	12	20	10	13	73	25	16	43	21	30	30	33	55
