0	8	40	48	55	7	4	2	0	57	55	33	11	5	7	12	10	7	3	2	0	14	3	1	0	0	1	3	3	3	1	2	3	16	4	1	1	6	4	3	2	2	3	1	5	5	3	1	7	9	4	7	5	6	29	30	23	8	9	5	3	40	40	14	5
10	15	30	50	39	5	8	10	0	60	66	23	18	7	3	6	8	6	1	3	3	4	2	3	1	3	4	5	6	1	1	2	3	16	4	0	1	16	3	4	4	2	2	7	4	5	2	3	3	8	6	9	2	8	20	35	37	6	6	5	3	43	33	16	5
20	11	34	70	46	5	10	6	0	42	60	30	16	8	4	6	11	11	3	2	0	18	5	1	6	0	2	1	4	0	2	4	2	11	1	5	0	7	7	5	7	5	1	3	4	3	1	5	6	7	5	5	8	5	32	37	27	3	7	4	2	43	35	14	3
30	17	26	46	42	6	3	10	0	64	69	32	16	9	10	12	15	4	3	6	0	22	6	3	2	3	4	1	4	4	2	2	5	16	2	3	2	8	3	5	4	4	3	2	2	3	3	5	7	15	11	7	3	10	14	28	29	7	7	2	5	62	27	9	4
40	20	23	57	56	3	4	7	0	49	68	24	21	5	6	10	14	6	4	3	2	22	4	6	6	1	3	1	6	4	3	4	1	12	3	8	5	15	6	2	4	3	1	4	6	2	3	5	8	11	5	8	5	8	26	35	35	1	4	6	5	62	38	28	5
50	16	45	61	72	7	8	4	0	65	67	37	16	5	4	3	14	8	6	3	4	21	12	3	5	3	1	5	6	1	1	1	2	13	3	2	2	11	9	2	7	4	6	7	6	2	5	6	9	12	9	5	8	8	35	45	44	10	3	5	7	51	28	12	3
60	15	36	62	62	8	14	5	0	46	69	24	15	6	6	12	15	3	4	3	1	18	2	5	8	2	4	3	5	6	1	6	6	11	5	4	4	12	9	3	12	8	0	5	7	3	3	3	8	11	10	5	4	12	25	46	45	7	5	4	8	45	36	10	3
70	15	34	65	63	11	8	9	0	68	68	36	17	11	9	8	16	10	6	3	1	17	6	6	9	4	6	5	4	3	2	4	6	24	1	4	3	20	6	7	4	6	4	6	7	6	6	8	6	10	9	4	7	11	30	40	35	8	6	7	7	41	38	18	2
80	12	45	66	61	4	10	13	0	75	86	41	22	5	9	11	23	10	14	4	1	19	6	2	6	5	6	2	9	9	1	3	3	19	4	2	7	9	8	7	9	9	4	5	3	2	9	6	11	12	6	7	4	11	33	60	35	6	9	8	9	57	34	13	10
90	27	50	71	64	11	16	6	0	71	77	40	32	12	10	14	21	13	7	5	1	27	8	4	9	2	12	3	8	6	1	11	5	17	2	5	6	14	10	6	12	5	8	6	9	6	12	7	12	14	12	9	9	19	34	39	37	13	17	9	4	44	41	19	6
