0	11	38	55	47	10	9	13	0	34	67	47	26	0	5	8	13	9	8	3	6	19	8	6	15	0	8	16	18	14	9	22	11	12	10	4	6	11	9	8	15	13	8	13	16	5	9	10	10	5	18	22	21	35	103	135	138	13	16	11	20	148	103	45	22
10	22	44	82	61	14	12	5	0	62	98	51	36	0	12	23	23	18	8	13	5	31	18	23	30	0	19	10	9	20	9	24	29	16	15	7	6	14	10	4	81	24	11	24	20	11	12	14	11	4	14	22	28	48	139	153	154	26	17	14	17	158	168	68	44
20	31	59	87	86	16	24	9	0	80	118	70	47	0	20	21	24	26	48	27	8	73	20	51	106	0	30	19	28	37	24	63	35	23	50	19	13	16	31	13	162	39	12	50	25	14	25	17	21	15	36	32	28	54	144	202	180	18	29	20	28	185	186	70	38
30	29	61	88	70	28	23	19	0	79	168	100	50	0	28	86	41	39	86	62	16	150	78	98	244	0	100	35	42	101	38	112	41	33	144	35	31	29	74	15	262	110	28	129	22	21	57	25	28	29	22	23	46	64	161	235	182	36	47	40	23	221	183	97	40
40	36	56	111	74	19	24	26	0	111	174	94	53	0	35	167	84	49	180	125	31	272	175	152	415	0	187	36	47	167	64	230	53	82	266	96	98	37	116	57	472	220	62	264	39	46	104	42	56	24	48	44	60	67	146	221	205	58	63	57	53	208	200	109	64
50	36	70	108	103	21	38	20	0	121	148	98	71	0	42	272	122	97	255	221	81	443	281	262	577	0	320	53	56	320	88	384	59	143	376	216	173	82	219	95	632	366	106	514	50	76	195	79	82	32	77	44	92	71	177	217	208	82	84	87	61	204	197	98	43
60	31	83	99	104	27	51	33	0	117	160	95	55	0	100	431	247	116	357	289	120	630	399	310	744	0	434	68	123	412	131	515	81	253	473	358	247	131	352	155	746	527	217	701	58	148	298	111	114	39	91	66	126	57	188	240	239	82	116	121	88	231	202	105	77
70	54	74	112	110	35	56	36	0	130	195	106	65	0	128	530	334	158	504	392	154	704	545	407	851	0	585	102	128	609	227	634	117	401	579	542	390	179	523	244	885	771	330	891	61	233	341	155	216	63	152	93	146	85	207	289	223	101	146	159	118	234	198	108	69
80	42	86	125	120	34	73	50	0	137	197	127	70	0	173	667	436	213	644	440	251	893	642	506	960	0	747	165	175	660	298	858	145	535	697	649	576	244	659	350	971	981	426	1090	92	316	527	240	336	75	162	110	133	83	180	263	211	129	182	236	154	254	239	121	88
90	44	91	127	109	55	93	54	0	139	203	135	80	0	233	840	622	256	786	572	318	1073	759	651	1068	0	943	213	211	861	410	1031	192	715	797	808	680	373	819	446	1122	1060	635	1287	130	500	599	356	465	112	232	152	192	81	186	260	226	146	239	254	166	267	193	112	55
100	55	92	124	128	73	134	90	0	144	209	125	114	0	288	947	706	319	879	658	453	1255	959	677	1294	0	1109	301	266	1114	603	1263	228	958	902	994	943	455	992	639	1289	1302	796	1493	159	639	812	563	625	129	305	175	224	79	204	264	243	210	289	329	207	234	248	134	71
110	38	93	153	119	58	131	100	0	160	205	140	119	0	337	1015	906	399	975	821	513	1290	1031	782	1346	0	1283	403	418	1136	780	1490	315	1127	1025	1165	1075	605	1184	778	1404	1464	1008	1680	261	820	908	808	798	172	342	199	261	90	195	292	281	227	354	362	256	281	272	147	77
